Species,Translocation,Fragment,Treatment,Day,Time,    F,  Fm', Yield,    qP
Montastraea cavernosa,Acer24 to Acer24,1,28C,Experiment,Noon,70,226,0.69,0.776
Montastraea cavernosa,Acer24 to Acer24,1,28C,Experiment,Noon,96,293,0.672,0.735
Montastraea cavernosa,Acer24 to Acer24,1,28C,Experiment,Noon,74,302,0.754,0.823
Montastraea cavernosa,Acer24 to Acer24,2,28C,Experiment,Noon,46,138,0.666,0.814
Montastraea cavernosa,Acer24 to Acer24,2,28C,Experiment,Noon,92,288,0.68,0.745
Montastraea cavernosa,Acer24 to Acer24,2,28C,Experiment,Noon,48,137,0.649,0.794
Montastraea cavernosa,Acer24 to Acer24,3,28C,Experiment,Noon,104,351,0.703,0.757
Montastraea cavernosa,Acer24 to Acer24,3,28C,Experiment,Noon,63,198,0.681,0.78
Montastraea cavernosa,Acer24 to Acer24,3,28C,Experiment,Noon,121,412,0.706,0.751
Montastraea cavernosa,Acer24 to Acer24,4,28C,Experiment,Noon,84,299,0.719,0.784
Montastraea cavernosa,Acer24 to Acer24,4,28C,Experiment,Noon,104,356,0.707,0.761
Montastraea cavernosa,Acer24 to Acer24,4,28C,Experiment,Noon,92,310,0.703,0.764
Montastraea cavernosa,Acer24 to Acer24,5,28C,Experiment,Noon,108,336,0.678,0.733
Montastraea cavernosa,Acer24 to Acer24,5,28C,Experiment,Noon,93,289,0.678,0.742
Montastraea cavernosa,Acer24 to Acer24,5,28C,Experiment,Noon,59,175,0.662,0.773
Montastraea cavernosa,Acer24 to Acer24,6,28C,Experiment,Noon,25,70,0.642,1
Montastraea cavernosa,Acer24 to Acer24,6,28C,Experiment,Noon,113,411,0.725,0.772
Montastraea cavernosa,Acer24 to Acer24,6,28C,Experiment,Noon,94,292,0.678,0.741
Montastraea cavernosa,Acer24 to Acer24,7,28C,Experiment,Noon,88,267,0.67,0.739
Montastraea cavernosa,Acer24 to Acer24,7,28C,Experiment,Noon,88,293,0.699,0.764
Montastraea cavernosa,Acer24 to Acer24,7,28C,Experiment,Noon,96,296,0.675,0.738
Montastraea cavernosa,Acer24 to Acer24,9,28C,Experiment,Noon,52,165,0.684,0.807
Montastraea cavernosa,Acer24 to Acer24,9,28C,Experiment,Noon,107,394,0.728,0.777
Montastraea cavernosa,Acer24 to Acer24,9,28C,Experiment,Noon,66,258,0.744,0.824
Montastraea cavernosa,Acer24 to Acer24,10,28C,Experiment,Noon,51,149,0.657,0.79
Montastraea cavernosa,Acer24 to Acer24,10,28C,Experiment,Noon,84,250,0.664,0.737
Montastraea cavernosa,Acer24 to Acer24,10,28C,Experiment,Noon,38,104,0.634,0.835
Montastraea cavernosa,Acer24 to Acer24,1,32C,Experiment,Noon,140,444,0.684,0.725
Montastraea cavernosa,Acer24 to Acer24,1,32C,Experiment,Noon,134,443,0.697,0.739
Montastraea cavernosa,Acer24 to Acer24,1,32C,Experiment,Noon,21,65,0.676,1.1
Montastraea cavernosa,Acer24 to Acer24,2,32C,Experiment,Noon,34,107,0.682,0.89
Montastraea cavernosa,Acer24 to Acer24,2,32C,Experiment,Noon,96,320,0.7,0.759
Montastraea cavernosa,Acer24 to Acer24,2,32C,Experiment,Noon,106,378,0.719,0.77
Montastraea cavernosa,Acer24 to Acer24,3,32C,Experiment,Noon,48,145,0.668,0.808
Montastraea cavernosa,Acer24 to Acer24,3,32C,Experiment,Noon,81,252,0.678,0.753
Montastraea cavernosa,Acer24 to Acer24,3,32C,Experiment,Noon,84,286,0.706,0.773
